From	To
P16871	IL7R
P04351	Il2
P34902	Il2rg
Q01853	Vcp
Q9BXW9	FANCD2
Q9DGN1	stag1
Q9DGN0	stag2
P35869	AHR
P27540	ARNT
Q9Z0E3	Aire
P97837	Dlgap2
P97836	Dlgap1
Q9WV48	Shank1
P33897	ABCD1
Q61285	Abcd2
P28288	ABCD3
P48410	Abcd1
P55096	Abcd3
Q15436	SEC23A
P53992	SEC24C
O14920	IKBKB
P15806	Tcf3
Q64279	Hand1
Q61039	Hand2
Q9QUS4	Hey2
Q96J02	ITCH
Q9WU78	Pdcd6ip
Q62419	Sh3gl1
Q9NPI8	FANCF
Q9Z101	Pard6a
Q9JK83	Pard6b
P60766	Cdc42
Q9VAN0	CG11899
P08182	CkIIbeta
Q9VAA1	Dmel\CG15529
Q7PLP5	BEST:GM10035
Q8IQI1	bs31g10.y1
Q01644	Mst84Dc
Q01642	Mst84Da
Q9GSR1	DNApol-zeta
Q9VJM1	CG4959
Q6NN85	ssh
Q7JXC4	P32
Q9VSH8	Pex2
Q9W5X1	Dmel\CG9572
Q9VGF5	Tango9
Q9W5S7	DIP1
Q9VAU9	Noa36
Q9VGC1	Rsbp15
P62152	Cam
Q9VR05	Dmel\CG15436
Q7JUN3	ABCD
Q9VWP7	Dmel\CG7101
Q9VQU7	GH25970
Q9VQU9	bowl
O46085	Pex5
Q0E917	Fak
Q03043	for
Q867Z4	lola
Q24564	Mer
Q06559	RpS3
O18640	Rack1
Q9VXH7	Dmel\CG9917
Q9VIW0	tj
Q7JZN0	Sec61beta
Q9VIU7	CG10166
Q05825	ATPsynbeta
P29503	neur
Q9W135	CG13588
P27398	sol
P38979	sta
P48149	RpS15Aa
Q9W3L4	Dmel\CG2233
Q9VWB0	Pex23
Q9W0L7	Usp10
Q9VJU8	NimB4
Q8T8R1	CG3800
P23803	odd
Q9W3Z5	Dmel\CG3918
Q9VSP9	Acbp5
Q9VKC5	p8
Q7JZW2	RpS15
H1UUE3	CG8854-RB
Q9VJU5	NimC1
Q9VJY6	RpL24
Q9VVX3	fz2
P56672	otp
Q9VG91	clone
P16241	vvl
Q9VQW6	CG10039
Q9VGA4	MBD-R2
Q9VI13	Pak
Q04787	bsh
Q9VIN1	RtGEF
Q7K5K3	Pdhb
Q9W4Y8	EG:BACH7M4.4
Q9U1L6	EG:BACR42I17.8
O97067	CG1307
Q95RG8	Git
A1Z7Q5	CG30347
